2019 bop to the top triple,,,,,
2019-1-20,,,,,
,,,,,
100 #base points, no bonus,, only 8 made the 17:20 cutoff,,
    1  TRIP,JOSHUA DUNCAN,  42,M,   04:59,0:15:03.
,,  42,M,   05:01,
,,  42,M,   05:03,
,,,,,
    2  TRIP,CINDY A HARRIS,  51,F,   05:01,0:15:07.
,,  51,F,   05:02,
,,  51,F,   05:04,
,,,,,
    3  TRIP,MADELINE KELLER,  16,F,   05:16,0:15:59.
,,  16,F,   05:20,
,,  16,F,   05:22,
,,,,,
    4  TRIP,MICHAEL TRAYSER,  33,M,   05:07,0:16:11.
,,  33,M,   05:31,
,,  33,M,   05:32,
,,,,,
    5  TRIP,NICK ANDERSON,  14,M,   05:20,0:16:20.
,,  14,M,   05:29,
,,  14,M,   05:30,
,,,,,
    6  TRIP,CALEB HARMS,  15,M,   05:22,0:16:29.
,,  15,M,   05:29,
,,  15,M,   05:37,
,,,,,
    7  TRIP,JOE KENNY,  62,M,   05:35,0:16:48.
,,  62,M,   05:35,
,,  62,M,   05:36,
,,,,,
    8  TRIP,JOSH JACKETT,  40,M,   05:42,0:17:13.
,,  40,M,   05:44,
,,  40,M,   05:45,
,,,,,
    9  TRIP,HAL CARLSON,  67,M,   05:46,0:17:29.
,,  67,M,   05:47,
,,  67,M,   05:55,
,,,,,
   10  TRIP,COLM ONEACRE,  15,M,   05:43,0:17:43.
,,  15,M,   05:59,
,,  15,M,   06:00,
,,,,,
   11  TRIP,JOHN ADAMS,  46,M,   05:45,0:17:52.
,,  46,M,   06:01,
,,  46,M,   06:04,
,,,,,
   12  TRIP,MIKE WILLIAMS,  49,M,   05:50,0:18:14.
,,  49,M,   06:02,
,,  49,M,   06:21,
,,,,,
   13  TRIP,CARALEE EVANS,  48,F,   06:12,0:18:43.
,,  48,F,   06:15,
,,  48,F,   06:15,
,,,,,
   14  TRIP,VERITY REES,  35,F,   06:12,0:18:58.
,,  35,F,   06:19,
,,  35,F,   06:26,
,,,,,
   15  TRIP,JILL PAHA,  38,F,   06:13,0:19:09.
,,  38,F,   06:21,
,,  38,F,   06:34,
,,,,,
   16  TRIP,RICK MARTIN,  51,M,   06:05,0:19:24.
,,  51,M,   06:36,
,,  51,M,   06:42,
,,,,,
   17  TRIP,FRANK MINOR,  30,M,   06:22,0:19:26.
,,  30,M,   06:23,
,,  30,M,   06:40,
,,,,,
   18  TRIP,JULYNNE SPIDELL,  16,F,   06:23,0:19:53.
,,  16,F,   06:42,
,,  16,F,   06:47,
,,,,,
   19  TRIP,BRIAN RUMMELHART,  50,M,   06:25,0:20:06.
,,  50,M,   06:39,
,,  50,M,   07:01,
,,,,,
   20  TRIP,MARK WALTER,  54,M,   06:27,0:20:11.
,,  54,M,   06:50,
,,  54,M,   06:53,
,,,,,
   21  TRIP,LAUREN BAILEY,  38,F,   06:34,0:20:17.
,,  38,F,   06:48,
,,  38,F,   06:53,
,,,,,
   22  TRIP,CONNER CHASE,  15,M,   06:32,0:20:36.
,,  15,M,   06:53,
,,  15,M,   07:09,
,,,,,
   23  TRIP,JEFF TZUCKER,  43,M,   06:40,0:20:38.
,,  43,M,   06:55,
,,  43,M,   07:03,
,,,,,
   24  TRIP,SYD ARAK,  74,M,   06:46,0:20:47.
,,  74,M,   06:59,
,,  74,M,   07:01,
,,,,,
   25  TRIP,DESHAWN NTAMERE,  14,M,   06:45,0:20:54.
,,  14,M,   07:03,
,,  14,M,   07:06,
,,,,,
   26  TRIP,CHRIS DIENBERG,  50,M,   06:50,0:20:59.
,,  50,M,   06:59,
,,  50,M,   07:10,
,,,,,
   27  TRIP,MICHAEL DURALL,  34,M,   06:50,0:20:59.
,,  34,M,   06:59,
,,  34,M,   07:09,
,,,,,
   28  TRIP,MARK MAYER,  43,M,   06:45,0:21:00.
,,  43,M,   07:01,
,,  43,M,   07:13,
,,,,,
   29  TRIP,MIKE HUTSON,  60,M,   07:03,0:21:18.
,,  60,M,   07:03,
,,  60,M,   07:11,
,,,,,
   30  TRIP,HEATHER POYNTER,  46,F,   07:00,0:21:31.
,,  46,F,   07:10,
,,  46,F,   07:21,
,,,,,
   31  TRIP,CHARLIE HOFER,  15,M,   06:50,0:21:33.
,,  15,M,   07:10,
,,  15,M,   07:32,
,,,,,
   32  TRIP,SPENSER SHULER,  22,M,   06:43,0:21:37.
,,  22,M,   07:26,
,,  22,M,   07:27,
,,,,,
   33  TRIP,JOSEPH WEBSTER,  52,M,   07:01,0:21:44.
,,  52,M,   07:19,
,,  52,M,   07:23,
,,,,,
   34  TRIP,JAMIE COLON,  47,M,   07:05,0:21:50.
,,  47,M,   07:11,
,,  47,M,   07:33,
,,,,,
   35  TRIP,COLLEEN TORRES,  34,F,   07:16,0:21:53.
,,  34,F,   07:18,
,,  34,F,   07:19,
,,,,,
   36  TRIP,KAREN GENINATTI,  62,F,   07:11,0:21:55.
,,  62,F,   07:19,
,,  62,F,   07:24,
,,,,,
   37  TRIP,KIMBERLEY STEPHENSON,  28,F,   06:59,0:22:01.
,,  28,F,   07:28,
,,  28,F,   07:33,
,,,,,
   38  TRIP,HEATHER PROFT,  38,F,   07:09,0:22:13.
,,  38,F,   07:20,
,,  38,F,   07:43,
,,,,,
   39  TRIP,MARY JOHNSON,  59,F,   07:19,0:22:23.
,,  59,F,   07:29,
,,  59,F,   07:34,
,,,,,
   40  TRIP,TYLER LAMENSKY,  30,M,   07:15,0:22:25.
,,  30,M,   07:20,
,,  30,M,   07:49,
,,,,,
   41  TRIP,DINO MAGLINTE,  42,M,   07:22,0:22:27.
,,  42,M,   07:23,
,,  42,M,   07:41,
,,,,,
   42  TRIP,DANAE DEWAR,  29,F,   07:27,0:22:34.
,,  29,F,   07:33,
,,  29,F,   07:34,
,,,,,
   43  TRIP,JOSEPH BOBBITT,  44,M,   07:22,0:22:35.
,,  44,M,   07:33,
,,  44,M,   07:39,
,,,,,
   44  TRIP,BRENDON BRIGHT,  49,M,   07:22,0:22:48.
,,  49,M,   07:35,
,,  49,M,   07:49,
,,,,,
   45  TRIP,RICK MARRS,  61,M,   06:59,0:22:48.
,,  61,M,   07:54,
,,  61,M,   07:55,
,,,,,
   46  TRIP,ANDY HANSON,  48,M,   07:35,0:23:05.
,,  48,M,   07:39,
,,  48,M,   07:50,
,,,,,
   47  TRIP,JAMES SHIBLEY,  64,M,   07:40,0:23:07.
,,  64,M,   07:42,
,,  64,M,   07:44,
,,,,,
   48  TRIP,HEATHER ERNST,  36,F,   07:31,0:23:36.
,,  36,F,   07:50,
,,  36,F,   08:15,
,,,,,
   49  TRIP,NATHAN FIX,  14,M,   07:37,0:23:40.
,,  14,M,   07:51,
,,  14,M,   08:10,
,,,,,
   50  TRIP,LISA ASHBY,  41,F,   07:45,0:23:40.
,,  41,F,   07:50,
,,  41,F,   08:04,
,,,,,
   51  TRIP,MARK ZERR,  51,M,   07:54,0:23:45.
,,  51,M,   07:54,
,,  51,M,   07:55,
,,,,,
   52  TRIP,HEATHER WOODS,  42,F,   07:47,0:23:47.
,,  42,F,   07:59,
,,  42,F,   08:01,
,,,,,
   53  TRIP,DICK WHICKER,  71,M,   07:42,0:23:55.
,,  71,M,   07:55,
,,  71,M,   08:17,
,,,,,
   54  TRIP,DAVID ERNST,  40,M,   07:39,0:23:59.
,,  40,M,   08:05,
,,  40,M,   08:15,
,,,,,
   55  TRIP,MARLIE TABOR,  56,F,   07:49,0:24:15.
,,  56,F,   08:12,
,,  56,F,   08:14,
,,,,,
   56  TRIP,EVAN BARRETT,  14,M,   07:55,0:24:34.
,,  14,M,   08:09,
,,  14,M,   08:29,
,,,,,
   57  TRIP,JENNIFER HEFFLEY,  45,F,   07:48,0:24:40.
,,  45,F,   07:57,
,,  45,F,   08:54,
,,,,,
   58  TRIP,CARRIE BRIGHT,  44,F,   07:57,0:24:51.
,,  44,F,   08:21,
,,  44,F,   08:32,
,,,,,
   59  TRIP,RACHELLE SHULER,  41,F,   08:04,0:24:54.
,,  41,F,   08:10,
,,  41,F,   08:38,
,,,,,
   60  TRIP,LISA HOOPER,  52,F,   08:05,0:25:02.
,,  52,F,   08:22,
,,  52,F,   08:34,
,,,,,
   61  TRIP,CAREN BOND,  47,F,   08:16,0:25:04.
,,  47,F,   08:17,
,,  47,F,   08:30,
,,,,,
   62  TRIP,HARISH NAMBIAR,  50,M,   08:13,0:25:19.
,,  50,M,   08:30,
,,  50,M,   08:35,
,,,,,
   63  TRIP,BRENDA HOFFMAN,  43,F,   08:12,0:25:28.
,,  43,F,   08:14,
,,  43,F,   09:00,
,,,,,
   64  TRIP,RAY POYNTER,  45,M,   07:48,0:25:32.
,,  45,M,   08:46,
,,  45,M,   08:56,
,,,,,
   65  TRIP,TERRY SCHAEFER,  53,M,   08:06,0:25:43.
,,  53,M,   08:45,
,,  53,M,   08:51,
,,,,,
   66  TRIP,JANICE DESIDERIO,  38,F,   08:34,0:25:49.
,,  38,F,   08:37,
,,  38,F,   08:37,
,,,,,
   67  TRIP,THOMAS MONTAGUE,  60,M,   08:22,0:25:52.
,,  60,M,   08:40,
,,  60,M,   08:49,
,,,,,
   68  TRIP,ABBY WILLIAMS,  43,F,   08:22,0:25:55.
,,  43,F,   08:39,
,,  43,F,   08:54,
,,,,,
   69  TRIP,CHRISTOPHER TAYLOR,  45,M,   08:32,0:26:10.
,,  45,M,   08:48,
,,  45,M,   08:50,
,,,,,
   70  TRIP,DAVE KLENE,  59,M,   08:30,0:26:29.
,,  59,M,   08:55,
,,  59,M,   09:03,
,,,,,
   71  TRIP,STEPHEN BARTLETT,  58,M,   08:40,0:26:35.
,,  58,M,   08:54,
,,  58,M,   09:00,
,,,,,
   72  TRIP,PAM TOPPING,  44,F,   08:46,0:26:41.
,,  44,F,   08:57,
,,  44,F,   08:57,
,,,,,
   73  TRIP,DEYANIRA GOTTWALD,  51,F,   08:35,0:26:45.
,,  51,F,   08:43,
,,  51,F,   09:26,
,,,,,
   74  TRIP,COURTNEY DUFOUR,  28,F,   08:35,0:27:00.
,,  28,F,   09:09,
,,  28,F,   09:14,
,,,,,
   75  TRIP,WES EDGAR,  44,M,   08:02,0:27:04.
,,  44,M,   09:25,
,,  44,M,   09:36,
,,,,,
   76  TRIP,DENNIS RICHMOND,  67,M,   08:49,0:27:05.
,,  67,M,   09:06,
,,  67,M,   09:10,
,,,,,
   77  TRIP,ERIN MAYER,  40,F,   08:56,0:27:12.
,,  40,F,   09:01,
,,  40,F,   09:15,
,,,,,
   78  TRIP,TAMMY TOUT,  52,F,   08:57,0:27:16.
,,  52,F,   09:07,
,,  52,F,   09:11,
,,,,,
   79  TRIP,CARISSA DUKES,  35,F,   08:56,0:27:18.
,,  35,F,   09:02,
,,  35,F,   09:19,
,,,,,
   80  TRIP,DOMINIC MINATEL,  17,M,   08:13,0:27:27.
,,  17,M,   09:22,
,,  17,M,   09:51,
,,,,,
   81  TRIP,MICHELE QUALLEY,  45,F,   08:53,0:27:41.
,,  45,F,   09:22,
,,  45,F,   09:25,
,,,,,
   82  TRIP,TOM MCGEE,  63,M,   09:11,0:27:56.
,,  63,M,   09:17,
,,  63,M,   09:28,
,,,,,
   83  TRIP,DAVID GARCIA,  40,M,   08:55,0:27:59.
,,  40,M,   09:02,
,,  40,M,   10:01,
,,,,,
   84  TRIP,DAWN CORDRAY,  44,F,   09:18,0:28:16.
,,  44,F,   09:27,
,,  44,F,   09:29,
,,,,,
   85  TRIP,ALEXANDRIA MARTIN,  16,F,   09:18,0:28:16.
,,  16,F,   09:28,
,,  16,F,   09:29,
,,,,,
   86  TRIP,JERRY DEAN,  47,M,   08:57,0:28:21.
,,  47,M,   09:41,
,,  47,M,   09:42,
,,,,,
   87  TRIP,JEFF OBRIEN,  57,M,   09:22,0:28:33.
,,  57,M,   09:28,
,,  57,M,   09:42,
,,,,,
   88  TRIP,CHARLES GILLES,  56,M,   09:13,0:28:35.
,,  56,M,   09:37,
,,  56,M,   09:45,
,,,,,
   89  TRIP,KEVIN MIDDLETON,  42,M,   09:16,0:28:48.
,,  42,M,   09:40,
,,  42,M,   09:51,
,,,,,
   90  TRIP,SCOTT CALDWELL,  46,M,   09:00,0:28:49.
,,  46,M,   09:51,
,,  46,M,   09:56,
,,,,,
   91  TRIP,KURT KOEHLER,  62,M,   09:30,0:29:15.
,,  62,M,   09:44,
,,  62,M,   10:00,
,,,,,
   92  TRIP,PAUL OVERHAUSER,  62,M,   09:34,0:29:18.
,,  62,M,   09:47,
,,  62,M,   09:55,
,,,,,
   93  TRIP,ANDREA THOMPSON,  36,F,   09:29,0:29:38.
,,  36,F,   10:00,
,,  36,F,   10:08,
,,,,,
   94  TRIP,ELLEN GRIFFITTS,  29,F,   09:01,0:29:48.
,,  29,F,   10:16,
,,  29,F,   10:30,
,,,,,
   95  TRIP,JOHN TZUCKER,  72,M,   09:14,0:30:03.
,,  72,M,   09:57,
,,  72,M,   10:52,
,,,,,
   96  TRIP,MATTHEW STALLER,  32,M,   09:34,0:30:24.
,,  32,M,   10:17,
,,  32,M,   10:33,
,,,,,
   97  TRIP,BRENT AMBLER,  43,M,   10:02,0:30:27.
,,  43,M,   10:04,
,,  43,M,   10:20,
,,,,,
   98  TRIP,SHEILA LEEPER,  34,F,   09:52,0:30:28.
,,  34,F,   10:15,
,,  34,F,   10:21,
,,,,,
   99  TRIP,SEAN ZERR,  21,M,   09:30,0:31:32.
,,  21,M,   09:53,
,,  21,M,   12:08,
,,,,,
  100  TRIP,CHELSEA WALDREP,  31,F,   10:26,0:31:39.
,,  31,F,   10:35,
,,  31,F,   10:38,
,,,,,
  101  TRIP,JESSICA EASTERDAY,  46,F,   09:23,0:32:07.
,,  46,F,   09:40,
,,  46,F,   13:03,
,,,,,
  102  TRIP,ZACK KORALEWSKI,  21,M,   09:50,0:32:15.
,,  21,M,   10:26,
,,  21,M,   11:58,
,,,,,
  103  TRIP,CARRIE BREWER-THOMAS,  48,F,   10:05,0:32:20.
,,  48,F,   11:05,
,,  48,F,   11:09,
,,,,,
  104  TRIP,PAMELA STEWART,  58,F,   10:42,0:32:22.
,,  58,F,   10:48,
,,  58,F,   10:52,
,,,,,
  105  TRIP,KEVIN BRYAN,  56,M,   10:41,0:32:43.
,,  56,M,   11:00,
,,  56,M,   11:01,
,,,,,
  106  TRIP,TIM STOUT,  59,M,   10:24,0:32:47.
,,  59,M,   11:06,
,,  59,M,   11:16,
,,,,,
  107  TRIP,STACY DAVIS,  41,F,   10:21,0:32:59.
,,  41,F,   10:26,
,,  41,F,   12:10,
,,,,,
  108  TRIP,STEVEN K WATSON,  60,M,   10:52,0:33:06.
,,  60,M,   11:01,
,,  60,M,   11:11,
,,,,,
  109  TRIP,AMY GOSSER,  38,F,   10:04,0:33:44.
,,  38,F,   11:41,
,,  38,F,   11:58,
,,,,,
  110  TRIP,LAUREN KUCERA,  34,F,   10:36,0:34:04.
,,  34,F,   11:07,
,,  34,F,   12:20,
,,,,,
  111  TRIP,SARAH DILLEY,  38,F,   10:52,0:34:12.
,,  38,F,   11:19,
,,  38,F,   12:00,
,,,,,
  112  TRIP,TERRY HARRISON,  55,M,   10:31,0:34:25.
,,  55,M,   11:55,
,,  55,M,   11:59,
,,,,,
  113  TRIP,ALEXANDRA TEGART,  45,F,   10:48,0:34:31.
,,  45,F,   11:38,
,,  45,F,   12:04,
,,,,,
  114  TRIP,KELLY CLEVEN,  42,F,   11:26,0:34:43.
,,  42,F,   11:27,
,,  42,F,   11:48,
,,,,,
  115  TRIP,REBECCA DOMECK,  44,F,   10:50,0:35:05.
,,  44,F,   11:36,
,,  44,F,   12:37,
,,,,,
  116  TRIP,JULIA FECKETE,  45,F,   11:41,0:35:34.
,,  45,F,   11:55,
,,  45,F,   11:57,
,,,,,
  117  TRIP,SCOTT CHAPMAN,  45,M,   11:30,0:35:44.
,,  45,M,   11:49,
,,  45,M,   12:23,
,,,,,
  118  TRIP,BONNIE GILLESPIE,  26,F,   11:28,0:35:56.
,,  26,F,   11:48,
,,  26,F,   12:38,
,,,,,
  119  TRIP,MEGHAN REECE,  26,F,   12:15,0:37:29.
,,  26,F,   12:29,
,,  26,F,   12:45,
,,,,,
  120  TRIP,JOAN CHARLESWORTH,  40,F,   11:33,0:38:04.
,,  40,F,   12:37,
,,  40,F,   13:53,
,,,,,
  121  TRIP,PATRICK EASTERDAY,  45,M,   12:26,0:38:15.
,,  45,M,   12:43,
,,  45,M,   13:05,
,,,,,
  122  TRIP,FLORA ALAILIMA,  43,F,   11:53,0:38:18.
,,  43,F,   12:42,
,,  43,F,   13:42,
,,,,,
  123  TRIP,JESSAMYN SALTER,  35,F,   12:41,0:39:38.
,,  35,F,   13:12,
,,  35,F,   13:43,
,,,,,
  124  TRIP,JASON BRAND,  43,M,   12:03,0:40:22.
,,  43,M,   14:06,
,,  43,M,   14:13,
,,,,,
  125  TRIP,CHARLES CONNOLLY,  38,M,   12:30,0:42:57.
,,  38,M,   15:03,
,,  38,M,   15:23,
,,,,,
  126  TRIP,CHRISTIE SMITH,  51,F,   14:23,0:43:41.
,,  51,F,   14:29,
,,  51,F,   14:47,
,,,,,
  127  TRIP,EMILY NOWAK,  36,F,   14:20,0:45:24.
,,  36,F,   15:25,
,,  36,F,   15:38,
,,,,,
  128  TRIP,RUSSEL HEATH,  93,M,   14:36,0:46:13.
,,  93,M,   15:41,
,,  93,M,   15:55,
,,,,,
  129  TRIP,JAMIE SIMPSON,  52,F,   15:49,0:51:25.
,,  52,F,   17:02,
,,  52,F,   18:32,
,,,,,
  130  TRIP,ANDY PARMERLEE,  35,M,   05:16,0:52:36.
,,  35,M,   05:19,
,,  35,M,   41:59,
,,,,,
  131  TRIP,JOHN LUMMIS,  56,M,   16:48,1:02:37.
,,  56,M,   20:35,
,,  56,M,   25:12,
,,,,,
  132  TRIP,DEBORAH BREIT,  55,F,   17:24,1:03:52.
,,  55,F,   22:44,
,,  55,F,   23:42,
,,,,,
       TRIP,EASEY EDWARDS,  41,M,   07:20,0:15:16.
,,  41,M,   07:55,
,,,,,
,,,,,
       TRIP,OWEN TOUT,  15,M,   09:02,0:18:42.
,,  15,M,   09:39,
,,,,,
,,,,,
       TRIP,ELIZABETH BEARBY,  48,F,   10:35,0:21:11.
,,  48,F,   10:35,
,,,,,
,,,,,
       TRIP,JOLENE CLICK,  44,F,   11:32,0:24:11.
,,  44,F,   12:38,
,,,,,
,,,,,
       TRIP,DANA MIRMAN,  34,F,   05:57,0:05:57.
,,,,,
,,,,,
,,,,,
       TRIP,STEVEN HARTON,  28,M,   06:12,0:06:12.
,,,,,
,,,,,
,,,,,
       TRIP,DIANE EDWARDSON,  51,F,   07:11,0:07:11.
,,,,,
,,,,,
,,,,,
       TRIP,LUKE MONTGOMERY,  17,M,   07:23,0:07:23.
,,,,,
,,,,,
,,,,,
       TRIP,CALVIN RAYMER,  15,M,   08:17,0:08:17.
,,,,,
,,,,,
,,,,,
       TRIP,SHRIPAD DESHPANDE,  48,M,   08:46,0:08:46.
,,,,,
,,,,,
,,,,,
       TRIP,ROBIN SMITH,  48,F,   09:09,0:09:09.
,,,,,
,,,,,
,,,,,
       TRIP,KATHY HENRY,  55,F,   10:34,0:10:34.
,,,,,
,,,,,
,,,,,
       TRIP,KARY SLONE,  40,F,   10:49,0:10:49.
,,,,,
,,,,,
,,,,,
       TRIP,JAKE BROOKS,  30,M,   11:16,0:11:16.
,,,,,
,,,,,
,,,,,
       TRIP,SARAH WAMPNER,  44,F,   12:31,0:12:31.
,,,,,
,,,,,
,,,,,
       TRIP,CARSON JOEHL,  24,M,   12:43,0:12:43.
,,,,,
,,,,,
,,,,,
       TRIP,MATTHEW DERYCKERE,  30,M,   12:59,0:12:59.
,,,,,
,,,,,
,,,,,
       TRIP,DEREK PARKES,  32,M,   13:01,0:13:01.
,,,,,
,,,,,
,,,,,
       TRIP,NICHOLAS PALUMBO,  25,M,   14:06,0:14:06.
,,,,,
,,,,,
,,,,,
       TRIP,VITO PALUMBO,  59,M,   15:13,0:15:13.
